title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
어쌔신 걸스,ASSASSINATION NATION,2019,스릴러,"오데사 영(릴리),하리 네프(벡스),아브라(엠)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019691.jpg
여장부,THE BRAVE WOMAN ( YEOJANGBU ),2019,시대극/사극,"도금봉(국향),신영균(비루),전계현(매화)",http://file.koreafilm.or.kr/thm/02/00/02/23/TN_DPK006818.jpg
세 번째 부인,THE THIRD WIFE,2019,드라마,"응우옌 푸옹 트라 미(마이),롱 레 부(훙),마이 투 후옹 마야(수안)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019690.jpg
더하우스,(DEOHAUSEU),2019,"스릴러,미스터리,공포","오창석(조준의),서우(은비루),김사희(강사희)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPK015311.jpg
닥터 두리틀,DOLITTLE,2019,"코메디,가족,판타지,어드벤처","로버트 다우니 주니어(닥터 두리틀),안토니오 반데라스(라술리),레미 맬렉(치-치 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019686.jpg
아스테릭스: 마법 물약의 비밀,ASTERIX: THE SECRET OF THE MAGIC POTION,2019,"어드벤처,코메디,가족,판타지","박성영,서반석,크리스티앙 끌라비에",http://file.koreafilm.or.kr/thm/02/00/05/40/TN_DPF019579.jpg
내부고발자들: 월급쟁이의 전쟁,WHISTLEBLOWER,2019,"드라마,미스터리,범죄","노무라 만사이,카가와 테루유키,오이카와 미츠히로",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019679.jpg
여자의 샘터,THE FOUNTAIN FOR THE WOMAN ( YEOJA-UI SAEMTEO ),2019,"멜로/로맨스,드라마","도금봉(옥주),이예춘(강영감),안성진(해석)",http://file.koreafilm.or.kr/thm/02/00/02/25/TN_DPK006955.jpg
신영웅문 : 천년의 비밀,LOVE ILLUSION,2019,"액션,멜로/로맨스,미스터리,판타지","정이건,우영광,클라라",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019678.jpg
청산별곡,THE SONG OF CHEONGSAN ( CHEONGSANBYEOLGOK ),2019,시대극/사극,"박노식(이길재),주연(연실),남궁원(윤교리)",http://file.koreafilm.or.kr/thm/02/00/02/25/TN_DPK006927.jpg
행복도시,CITIES OF LAST THINGS,2019,"범죄,드라마,SF","리홍기,고첩,루이제 그린버그",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019677.jpg
파닉스,PHOENIX,2019,드라마,"스베리르 구드나손(닐스),마리아 보네비(아스트리드),이둔 다에 알스타드",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019676.jpg
무화과 나무,FIG TREE,2019,드라마,"베탈레헴 아스마웨,요하네스 무사,웨옌쉬에트 벨라츄",http://file.koreafilm.or.kr/thm/02/00/05/41/TN_DPF019675.jpg
